tourney_name,winner_name,loser_name,minutes
Roland Garros,Eduardo Schwank,Marcel Granollers,193.0
Roland Garros,Paul Henri Mathieu,Oscar Hernandez,251.0
Roland Garros,Jeremy Chardy,David Nalbandian,183.0
Roland Garros,Fernando Verdasco,Juan Ignacio Chela,206.0
Roland Garros,Fernando Gonzalez,Stan Wawrinka,199.0
Roland Garros,Ivan Ljubicic,Nikolay Davydenko,193.0
Roland Garros,David Ferrer,Lleyton Hewitt,215.0
Roland Garros,Paul Henri Mathieu,Eduardo Schwank,182.0
Roland Garros,Fernando Verdasco,Mikhail Youzhny,204.0
Roland Garros,Novak Djokovic,Ernests Gulbis,187.0
Roland Garros,Roger Federer,Gael Monfils,185.0
Wimbledon,Lleyton Hewitt,Robin Haase,217.0
Wimbledon,Simone Bolelli,Alex Bogdanovic,186.0
Wimbledon,Tomas Berdych,Evgeny Korolev,181.0
Wimbledon,Florent Serra,Yen Hsun Lu,193.0
