tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1990-322,Geneva,Clay,32,A,19900910,1,100936,1,,Henri Leconte,L,185,FRA,27.1,101416,,,Joao Cunha Silva,R,173,POR,22.7,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,22,919,127,256
1983-429,Stockholm,Hard,64,A,19831031,43,100362,,,Peter Fleming,R,196,USA,28.7,100261,6,,Brian Gottfried,R,183,USA,31.7,4-6 6-3 7-5,3,QF,,,,,,,,,,,,,,,,,,,,87,,18,
1995-430,Essen Masters,Carpet,48,M,19951023,24,102338,6,,Yevgeny Kafelnikov,R,190,RUS,21.6,101334,,,Alexander Volkov,L,188,RUS,28.6,6-4 2-6 6-1,3,R32,82,12,7,82,38,27,25,13,5,8,11,1,68,38,31,10,12,0,4,6,2673,28,987
2016-0421,Canada Masters,Hard,64,M,20160725,257,104792,10,,Gael Monfils,R,193,FRA,29.8,105311,,,Joao Sousa,R,185,POR,27.3,6-3 6-3,3,R64,71,8,4,61,35,24,14,9,4,6,4,8,58,29,20,9,9,9,14,14,2440,36,1250
2010-341,Metz,Hard,28,A,20100920,19,103813,,,Jarkko Nieminen,L,185,FIN,29.1,104019,,,Kristof Vliegen,R,193,BEL,28.2,6-4 6-1,3,R16,68,3,1,60,43,30,9,9,6,7,0,0,41,20,11,10,8,1,5,62,795,307,139
1993-423,Los Angeles,Hard,32,A,19930802,24,101529,2,,Michael Stich,R,193,GER,24.7,101022,,Q,Kelly Jones,R,185,USA,29.3,6-2 6-3,3,R16,74,4,4,53,25,22,17,9,1,1,0,1,54,38,20,9,8,3,6,6,2325,210,169
1983-540,Wimbledon,Grass,128,G,19830620,220,100575,,Q,Andy Andrews,R,185,USA,24.4,100757,,,Anders Jarryd,R,180,SWE,21.9,6-4 7-6 6-3,5,R128,,,,,,,,,,,,,,,,,,,,,,96,
1994-316,Bastad,Clay,32,A,19940704,17,101659,,,Jan Apell,L,183,SWE,24.6,102035,,,Jonas Bjorkman,R,183,SWE,22.2,7-6(5) 4-6 6-2,3,R16,137,7,3,106,62,41,22,15,9,13,2,5,97,50,35,19,15,5,10,96,477,84,531
1992-379,Prague,Clay,32,A,19920810,13,101298,8,,Jonas Svensson,R,188,SWE,25.8,101016,,,Marcos Aurelio Gorriz,L,185,ESP,28.4,7-6(2) 6-4,3,R32,110,1,2,85,54,28,17,11,11,16,3,4,70,30,16,17,11,2,8,71,520,105,385
2006-422,Cincinnati Masters,Hard,64,M,20060814,59,103990,7,,Tommy Robredo,R,180,ESP,24.2,103344,4,,Ivan Ljubicic,R,193,CRO,27.4,7-6(6) 6-2,3,QF,102,0,0,71,53,43,7,10,6,6,11,2,75,50,35,10,10,3,5,7,2010,3,3195
