tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2002-426,Sao Paulo3 CH,Clay,32,C,20021028,26,102644,4,,Franco Squillari,L,183,ARG,27.1,102107,,,Jan Frode Andersen,L,190,NOR,30.1,6-4 6-0,3,QF,,,,,,,,,,,,,,,,,,,,91,439,261,110
2012-6490,Kaohsiung CH,Hard,32,C,20120423,8,104628,8,,Alexander Kudryavtsev,R,183,RUS,26.4,106034,,LL,Yasutaka Uchiyama,R,183,JPN,19.7,7-5 6-1,3,R32,84,2,2,59,31,26,14,10,5,6,2,0,62,42,24,9,9,7,11,161,324,342,124
2002-234,Belo Horizonte CH,Hard,32,C,20020729,25,103397,1,,Alexandre Simoni,R,188,BRA,23.0,103525,,,Ivan Miranda,R,175,PER,22.3,6-4 5-7 7-6(4),3,QF,,,,,,,,,,,,,,,,,,,,135,298,193,188
2002-486,Manerbio CH,Clay,32,C,20020819,16,102572,,Q,Igor Gaudi,R,188,ITA,27.3,103506,2,,Martin Vassallo Arguello,R,183,ARG,22.5,2-1 RET,3,R32,,,,,,,,,,,,,,,,,,,,393,68,136,304
1998-746,Sao Paulo CH,Clay,32,C,19981012,31,101897,1,,Fernando Meligeni,L,180,BRA,27.5,101382,,,Marcelo Filippini,R,178,URU,31.1,6-1 6-4,3,F,,,,,,,,,,,,,,,,,,,,51,811,135,350
2019-0316,Bastad,Clay,32,A,20190715,244,126523,,,Bernabe Zapata Miralles,R,185,ESP,22.5,106110,4,,Filip Horansky,R,175,SVK,26.5,6-3 6-4,3,Q1,75,2,1,73,51,33,10,10,8,10,0,5,59,35,20,10,9,5,9,235,196,175,303
1994-530,Campos Do Jordao CH,Hard,32,C,19940704,14,101978,,,Marcelo Rebolledo,R,,CHI,22.6,102413,,,Andy Zingman,R,183,ARG,20.0,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,517,40,465,48
2018-9132,Barcelona CH,Clay,32,C,20181008,246,105406,3,,Roberto Marcora,R,194,ITA,29.1,208279,,WC,Alejandro Moro Canas,U,,ESP,17.8,6-3 6-2,3,Q2,68,5,5,53,25,19,17,9,2,3,0,3,51,33,17,8,8,3,7,303,158,,
2023-7742,Lisbon CH,Clay,32,C,20231002,277,106162,,,Franco Agamenone,L,,ITA,30.4,209263,,,Matteo Gigante,L,,ITA,21.7,6-4 7-6(4),3,R32,120,1,2,80,55,38,17,11,5,6,2,3,82,50,31,19,11,8,10,203,310,182,340
1996-593,Ahmedabad CH,Clay,32,C,19961028,9,102284,5,,Filippo Messori,R,173,ITA,22.9,102835,,,Luke Milligan,R,180,GBR,20.2,6-4 6-0,3,R32,,,,,,,,,,,,,,,,,,,,157,274,263,141
