player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
204957,Takahide,Kajikawa,U,19851119,JPN,,
126881,Santiago Jose,Gutierrez Rueda,U,19941122,COL,,
121812,Danylo,Psarov,U,19920625,UKR,,
104463,Dmitriy,Makeyev,U,19841213,KAZ,,
207105,Nihal,Fernando,U,,SRI,,
140838,Guilherme,Alves,U,19840623,BRA,,
208451,Naifu,Zhang,U,19981104,,,
134064,Robin,Hochguertel,R,19911204,GER,,
151954,W P,Huggins,U,,USA,,
211730,Sandesh,Dattatray Kurale,U,,IND,,
135786,Krishnan,Sankaran,U,19701229,IND,,
135071,Kurt,Gattiker,U,19860326,ARG,,
118214,David,Jonio,U,19690630,FRA,,
149738,H,Pentland,U,,GBR,,
133605,Hristo,Enev,U,19801031,BUL,,
211296,Jorge,Berman,U,,MEX,,
208765,Nikita,Alosha,U,20000417,UKR,,
140609,Emiliano,Dessi,U,19771229,ITA,,
149910,W H,Lewis,U,,USA,,
119032,Alin Alexandru,Simion,R,19850205,ROU,,
150882,A A,Barrows,U,,USA,,
123263,Eddy,Beekman,U,19741009,NED,,
138590,Robbie C,Bellamy,U,19950126,USA,,
101707,Yuval,Karutzi,R,19700221,ISR,,
138681,Paul,Keoghan,R,19881114,IRL,,
100957,Greg,Holmes,R,19630829,USA,178,Q779251
109590,Alfredo,Moreno,R,19910722,MEX,,
106228,Juan Ignacio,Londero,R,19930815,ARG,180,Q15665498
122094,Seul Ki,Um,U,19900616,KOR,,
134438,Oskar,Michalek,U,19960124,POL,,
201833,Jan,Schnitzer,R,,USA,,
130106,Abraham,Alonso,R,19860317,PER,,
126253,Masaki,Fukushima,U,19931209,JPN,,
209665,B L,Jones,U,,GBR,,
123018,David,Vidal Prunell,U,19750314,ESP,,
212349,Ron,Woods,U,,USA,,
144868,Thibault,Saive,U,19960723,BEL,,
111286,Goncalo,Figueiredo,U,19810303,POR,,
137819,Ricardo,Camargo De Felice Martin,U,19941229,BRA,,
200517,Chase E,Perez Blanco,U,19951119,USA,,
209008,C,Heinze,U,,USA,,
134058,Samuel,Lemberger,R,19940523,GBR,,
150119,R,Lowry,U,,USA,,
102129,Gabrio,Castrichella,R,19721024,ITA,,Q63148289
100203,Phil,Dent,R,19500214,AUS,183,Q976190
133479,Juan Manuel,Pellegrini,R,19950922,ARG,,
117121,Darcy,Mccrea,U,,IRL,,
121478,Lars,Behlen,U,19920107,GER,,
114477,G,Zinn,U,,GER,,
136371,Alexandre,Cenacchi,U,19940722,BRA,,
109611,Chris,Santoso,R,19760119,CAN,,
119772,Liron,Shaul,U,19860723,ISR,,
132844,Tristan,Tringali,U,19931221,AUS,,
128117,Lucas,Monterroso,R,19970820,URU,,
149926,Crawford,Anderson,U,,USA,,
203159,Fabrizio,Nicco,U,19800216,ITA,,
112222,Charlie,Angas,U,,NZL,,
131379,Joao,Almeida,U,,POR,,
112537,Sa,Rauf,U,,PAK,,
115892,Ephron,Catlin Jr,U,,USA,,
112910,Bernard,Mottez,U,,FRA,,
116893,Godfrey Malbone,Brinley,U,18641122,USA,,
201140,Zdenek,Zofka,R,,CZE,,
102389,Alexander,Krell,R,19740515,AUT,,
126497,Cem,Hizlialp,R,19960318,TUR,,
135144,Nika,Dolidze,R,19940301,GEO,,
116108,Ep,Kirkland,U,,USA,,
128789,Vito,Tarlo,U,19790725,ITA,,
130792,Matyas,Magyar,U,19741121,HUN,,
137760,Rodolphe,Nicolas,U,19801012,FRA,,
121357,Florin Dimitrie,Sorodoc,U,19911001,ROU,,
149810,J E,Hoy,U,,GBR,,
127379,Matheus,Guida,U,19911202,BRA,,
149105,Matej,Rudolf,U,,CZE,,
142370,Roger,Santos,U,19851013,BRA,,
151463,Sidney,Doolittle,U,,USA,,
108941,Damar,Johnson,U,19840123,JAM,,
145907,Miguel,Martinez,U,,ESP,,
200460,John Bryan Decasa,Otico,R,19990625,PHI,,
129387,Alessandro,Poli,U,19900322,ITA,,
117437,Albano,Franco,U,19810408,BRA,,
102401,Scott,Draper,L,19740605,AUS,178,Q942937
130539,Daniel,Formento,R,19930210,PAR,,
150026,Joseph,Rowland,U,,USA,,
208311,Paul,Emmanuel,U,19971108,NGR,,
207859,Adam,Drysdale,U,19930806,GBR,,
132342,Tomas,Rodrigues,U,19951223,POR,,
136924,Arup,Mullick,R,19870916,IND,,
